"SeriesCode","Year","DESCRIPTION",
"SP.DYN.CONM.SA.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.DYN.CONM.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.DYN.CONM.AL.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.DYN.CONU.AL.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.ADO.TFRT","YR2010","Interpolated using data for 2007 and 2012.",
"SP.DYN.CONU.SA.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.DYN.CONU.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.DYN.WFRT","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.REG.BRTH.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.UWT.TFRT","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.BRTC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SN.ITK.SALT.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.FPL.SATM.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.IYCF.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.BFED.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.ARIC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MED.NUMW.P3","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MED.PHYS.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.PNVC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MLR.IPTP.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MLR.NETS.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.ANVC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MLR.TRET.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.ANV4.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.ORCF.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.MALR","YR2010","Source: WHO Global Health Observatory Data Repository",
"SN.ITK.VITA.ZS","YR2011","Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between round 1 (January–June) and round 2 (July–December) of 2011).",
"SP.ADO.TFRT","YR2011","Interpolated using data for 2007 and 2012.",
"SH.STA.MALR","YR2011","Source: WHO Global Health Observatory Data Repository",
"SN.ITK.VITA.ZS","YR2012","Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between round 1 (January–June) and round 2 (July–December) of 2012).",
"SH.CON.1524.FE.ZS","YR2012","Averages for regions/groups are based on most recent available country-level data (2008-).",
"SH.CON.1524.MA.ZS","YR2012","Averages for regions/groups are based on most recent available country-level data (2008-).",
"SH.MED.CMHW.P3","YR2012","Averages for regions/groups are based on most recent available country-level data (2009-).",
"SP.ADO.TFRT","YR2012","The data refer to 2010-2015.",
"SH.STA.MALR","YR2012","Source: WHO ""World Malaria Report 2013""",
"SP.ADO.TFRT","YR2013","Interpolated using data for 2012 and 2017.",
"SN.ITK.VITA.ZS","YR2013","Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between semester 1 (January–June) and semester 2 (July–December) of 2013).  Data are only presented for VAS priority countries.",
"SP.ADO.TFRT","YR2014","Interpolated using data for 2012 and 2017.",
"SH.PRG.SYPH.ZS","YR2015","Averages for regions/groups are based on most recent available country-level data (2008-).",
"SP.ADO.TFRT","YR2015","Interpolated using data for 2012 and 2017.",
"SP.REG.DTHS.ZS","YR2015","Averages for regions/groups are based on most recent available country-level data (2008-).",
"SP.ADO.TFRT","YR2016","Interpolated using data for 2012 and 2017.",
"SP.DYN.CONU.SA.ZS","YR2017","Averages for regions/groups are based on most recent available country-level data (2014-).",
"SH.MED.PHYS.ZS","YR2017","Averages for regions/groups are based on most recent available country-level data (2013-).",
"SH.MED.NUMW.P3","YR2017","Averages for regions/groups are based on most recent available country-level data (2013-).",
"SP.ADO.TFRT","YR2017","The data refer to 2015-2020.",
"SP.DYN.CONM.SA.ZS","YR2017","Averages for regions/groups are based on most recent available country-level data (2014-).",
"SP.DYN.CONU.AL.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.DYN.WFRT","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.REG.BRTH.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.ARIC.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.FPL.SATM.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SP.DYN.CONM.AL.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.IYCF.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SP.ADO.TFRT","YR2018","Interpolated using data for 2017 and 2022.",
"SH.STA.ORCF.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SH.STA.PNVC.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SN.ITK.SALT.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.BRTC.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.BFED.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SP.ADO.TFRT","YR2019","Interpolated using data for 2017 and 2022.",
"SH.STA.ANVC.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.DYN.CONM.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.ANV4.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.MLR.TRET.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SH.MLR.NETS.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SH.MLR.IPTP.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SP.DYN.CONU.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.UWT.TFRT","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.ADO.TFRT","YR2020","Interpolated using data for 2017 and 2022.",
"SH.STA.MALN.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.MALN.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.MALN.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.OWGH.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.OWGH.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.OWGH.ME.ZS","YR2020","The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height, weight and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.",
"SH.STA.OWGH.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.STNT.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.STNT.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.STNT.ME.ZS","YR2020","The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height, weight and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.",
"SH.STA.STNT.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.WAST.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.WAST.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.WAST.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.SVR.WAST.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.SVR.WAST.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.SVR.WAST.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
